Order_ID,Date,Region,Product,Units_Sold,Unit_Price,Discount,Customer_Satisfaction,Revenue
ORD-1001,2026-01-01,North,Laptop,6,973,0.0,3.3,5838.0
ORD-1002,2026-01-06,West,Tablet,12,481,0.05,3.5,5483.4
ORD-1003,2026-01-11,East,Phone,23,713,0.1,3.6,14759.1
ORD-1004,2026-01-16,South,Monitor,27,293,0.15,3.7,6724.35
ORD-1005,2026-01-21,North,Laptop,13,1013,0.0,3.7,13169.0
ORD-1006,2026-01-26,West,Tablet,20,461,0.05,3.9,8759.0
ORD-1007,2026-01-31,East,Phone,23,729,0.1,4.4,15090.3
ORD-1008,2026-02-05,South,Monitor,7,336,0.15,,1999.2
ORD-1009,2026-02-10,North,Laptop,17,969,0.0,4.4,16473.0
ORD-1010,2026-02-15,West,Tablet,23,481,0.05,3.0,10509.85
ORD-1011,2026-02-20,East,Phone,29,738,0.1,3.6,19261.8
ORD-1012,2026-02-25,South,Monitor,12,340,0.15,3.4,3468.0
ORD-1013,2026-03-02,North,Laptop,20,1008,0.0,3.8,20160.0
ORD-1014,2026-03-07,West,Tablet,26,476,0.05,3.9,11757.2
ORD-1015,2026-03-12,East,Phone,9,753,,4.0,6099.3
ORD-1016,2026-03-17,South,Monitor,17,322,0.15,4.4,4652.9
ORD-1017,2026-03-22,North,Laptop,21,947,0.0,4.3,19887.0
ORD-1018,2026-03-27,West,Tablet,28,488,0.05,4.6,12980.8
ORD-1019,2026-04-01,East,Phone,105,703,0.1,3.1,66433.5
ORD-1020,2026-04-06,South,Monitor,18,313,0.15,3.3,4788.9
ORD-1021,2026-04-11,North,Laptop,29,1006,0.0,3.5,29174.0
ORD-1022,2026-04-16,West,Tablet,13,462,0.05,3.5,5705.7
ORD-1023,2026-04-21,East,Phone,18,743,0.1,3.7,12036.6
ORD-1024,2026-04-26,South,Monitor,22,313,0.15,4.2,5853.1
ORD-1025,2026-05-01,North,Laptop,6,1009,0.0,4.4,6054.0
ORD-1026,2026-05-06,West,Tablet,13,449,0.05,4.3,5545.15
ORD-1027,2026-05-11,East,Phone,22,743,0.1,4.6,14711.4
ORD-1028,2026-05-16,South,Monitor,29,328,0.15,3.2,8085.2
ORD-1029,2026-05-21,North,Laptop,11,971,0.0,3.6,10681.0
ORD-1030,2026-05-26,West,Tablet,19,427,0.05,3.6,7707.35
ORD-1031,2026-05-31,East,Phone,23,716,0.1,4.0,14821.2
ORD-1032,2026-06-05,South,Monitor,8,281,0.15,,1910.8
ORD-1033,2026-06-10,North,Laptop,17,974,0.0,4.0,16558.0
ORD-1034,2026-06-15,West,Tablet,25,468,0.05,4.2,11115.0
ORD-1035,2026-06-20,East,Phone,30,691,0.1,4.4,18657.0
ORD-1036,2026-06-25,South,Monitor,15,296,0.15,4.5,3774.0
ORD-1037,2026-06-30,North,Laptop,18,986,0.0,3.0,17748.0
ORD-1038,2026-07-05,West,Tablet,25,486,0.05,3.5,11542.5
ORD-1039,2026-07-10,East,Phone,11,710,0.1,3.6,7029.0
ORD-1040,2026-07-15,South,Monitor,18,302,0.15,3.9,4620.6
ORD-1041,2026-07-20,North,Laptop,22,949,0.0,4.0,20878.0
ORD-1042,2026-07-25,West,Tablet,29,478,0.05,4.2,13168.9
ORD-1043,2026-07-30,East,Phone,15,707,0.1,4.3,9544.5
ORD-1044,2026-08-04,South,Monitor,18,333,0.15,4.4,5094.9
ORD-1045,2026-08-09,North,Laptop,27,960,0.0,4.7,25920.0
ORD-1046,2026-08-14,West,Tablet,11,435,0.05,3.2,4545.75
ORD-1047,2026-08-19,East,Phone,19,690,0.1,3.5,11799.0
ORD-1048,2026-08-24,South,Monitor,24,288,,3.4,5875.2
ORD-1049,2026-08-29,North,Laptop,10,980,0.0,3.9,9800.0
ORD-1050,2026-09-03,West,Tablet,15,492,0.05,3.8,7011.0
ORD-1051,2026-09-08,East,Phone,22,738,0.1,4.0,14612.4
ORD-1052,2026-09-13,South,Monitor,28,314,0.15,4.4,7473.2
ORD-1053,2026-09-18,North,Laptop,11,960,0.0,4.3,10560.0
ORD-1054,2026-09-23,West,Tablet,19,478,0.05,4.8,8627.9
ORD-1055,2026-09-28,East,Phone,25,749,0.1,3.2,16852.5
ORD-1056,2026-10-03,South,Monitor,92,314,0.15,3.5,24554.8
ORD-1057,2026-10-08,North,Laptop,18,955,0.0,3.7,17190.0
ORD-1058,2026-10-13,West,Tablet,25,440,0.05,4.0,10450.0
ORD-1059,2026-10-18,East,Phone,30,734,0.1,4.1,19818.0
ORD-1060,2026-10-23,South,Monitor,10,312,0.15,4.1,2652.0
ORD-1061,2026-10-28,North,Laptop,19,969,0.0,,18411.0
ORD-1062,2026-11-02,West,Tablet,26,432,0.05,4.2,10670.4
ORD-1063,2026-11-07,East,Phone,7,741,0.1,4.4,4668.3
ORD-1064,2026-11-12,South,Monitor,14,338,0.15,3.1,4022.2
ORD-1065,2026-11-17,North,Laptop,26,980,0.0,3.2,25480.0
ORD-1066,2026-11-22,West,Tablet,28,448,0.05,3.7,11916.8
ORD-1067,2026-11-27,East,Phone,13,699,0.1,3.6,8178.3
ORD-1068,2026-12-02,South,Monitor,20,291,0.15,4.1,4947.0
ORD-1069,2026-12-07,North,Laptop,26,990,0.0,4.0,25740.0
ORD-1070,2026-12-12,West,Tablet,8,486,0.05,4.2,3693.6
ORD-1071,2026-12-17,East,Phone,19,685,0.1,4.5,11713.5
ORD-1072,2026-12-22,South,Monitor,24,321,0.15,4.8,6548.4
